brand,model,year,mileage,transmission,location,fuel_type,price,grade
Toyota,ALPHARD G 2.5,2020,73097,Automatic,Bdg Soetta (Metro),Bensin,461000000,B
Suzuki,XL 7 ALPHA HYBRID 1.5,2024,48833,Automatic,Jakarta - Tipar,Bensin,240000000,B
Suzuki,FRONX GL 1.5,2025,7777,Manual,Cirebon,Bensin,210000000,B
Suzuki,XL 7 ZETA 1.5,2024,26366,Manual,Jakarta - Tipar,Bensin,190000000,B
Toyota,AVANZA G 1.3,2018,99561,Manual,Jakarta - Tipar,Bensin,132000000,B
Isuzu,FVZ U HP 7.8,2023,63640,Manual,Kendari,Diesel,550000000,B
Toyota,INNOVA ZENIX G HYBRID 2.0,2024,57328,Automatic,Jakarta - Tipar,Bensin,349000000,B
Isuzu,FVZ U HP 7.8,2023,20708,Manual,Kendari,Diesel,550000000,B
Isuzu,FVZ U HP 7.8,2023,42472,Manual,Palangkaraya,Diesel,560000000,B
Isuzu,FVZ U HP 7.8,2023,32010,Manual,Palangkaraya,Diesel,550000000,B
Honda,BRIO SATYA E 1.2,2019,72518,Automatic,Bdg Soetta (Metro),Bensin,125000000,B
Daihatsu,SIGRA D 1.0,2024,25336,Manual,Sampit,Bensin,115000000,B
Daihatsu,SIGRA M 1.0,2024,26738,Manual,Palangkaraya (Pky),Bensin,150000000,B
Toyota,AGYA G 1.2,2024,23229,Automatic,Banjarmasin,Bensin,154000000,B
Wuling,AIR EV LONG RANGE,2024,11356,Automatic,Jakarta Raya,Bensin,130000000,B
Suzuki,CARRY CL PICK UP 1.5,2023,64850,Manual,Jakarta - Tipar,Bensin,90000000,B
Mercedes,BENZ EQA 250,2023,37308,Automatic,Jakarta - Tipar,Bensin,1065000000,B
Daihatsu,GRAN MAX BV 1.3,2022,73128,Manual,Banjarmasin,Bensin,110000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,40522,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,55141,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,56645,Manual,Semarang,Bensin,130000000,B
Toyota,INNOVA G 2.4,2022,46387,Manual,Banjarmasin,Diesel,283000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,39181,Manual,Semarang,Bensin,130000000,B
